Date,Price,Open,High,Low,Volume,Change %
07/11/2022,"1,522.00","1,535.00","1,552.75","1,516.25",22.53K,0.58%
07/08/2022,"1,513.25","1,489.00","1,516.50","1,473.75",24.74K,1.89%
07/07/2022,"1,485.25","1,450.00","1,496.75","1,448.75",31.88K,2.68%
07/06/2022,"1,446.50","1,447.00","1,461.50","1,424.25",25.14K,0.50%
07/05/2022,"1,439.25","1,494.00","1,495.00","1,431.75",33.91K,-4.67%
07/01/2022,"1,509.75","1,563.75","1,573.25","1,505.25",31.17K,-3.25%
06/30/2022,"1,560.50","1,571.50","1,601.25","1,552.75",35.53K,-0.70%
06/29/2022,"1,571.50","1,554.00","1,573.75","1,546.75",42.36K,0.96%
06/28/2022,"1,556.50","1,534.75","1,564.25","1,531.75",49.48K,1.77%
06/27/2022,"1,529.50","1,510.75","1,536.25","1,504.00",35.65K,0.58%
06/24/2022,"1,520.75","1,501.75","1,529.50","1,494.75",27.16K,0.90%
06/23/2022,"1,507.25","1,565.00","1,566.00","1,500.00",41.29K,-3.63%
06/22/2022,"1,564.00","1,601.50","1,602.00","1,560.00",28.46K,-2.16%
06/21/2022,"1,598.50","1,616.75","1,619.00","1,592.00",22.24K,-5.77%
06/20/2022,"1,696.38","1,696.88","1,696.88","1,696.38",,-0.03%
06/19/2022,"1,696.88","1,696.88","1,696.88","1,696.88",,4.60%
06/17/2022,"1,622.25","1,633.25","1,645.00","1,621.00",19.69K,-0.52%
06/16/2022,"1,630.75","1,617.25","1,635.00","1,609.25",13.24K,1.05%
06/15/2022,"1,613.75","1,616.50","1,626.50","1,607.25",18.77K,-0.17%
06/14/2022,"1,616.50","1,627.75","1,643.00","1,615.50",23.47K,-0.69%
06/13/2022,"1,627.75","1,665.00","1,668.50","1,621.00",16.64K,-2.06%
06/10/2022,"1,662.00","1,680.75","1,685.25","1,658.00",24.29K,-1.06%
06/09/2022,"1,679.75","1,662.00","1,689.50","1,649.50",31.46K,1.02%
06/08/2022,"1,662.75","1,650.25","1,678.25","1,650.25",24.10K,0.54%
06/07/2022,"1,653.75","1,635.25","1,661.25","1,630.00",20.32K,1.10%
06/06/2022,"1,635.75","1,641.75","1,650.25","1,627.75",8.93K,0.12%
06/03/2022,"1,633.75","1,658.00","1,659.00","1,631.25",13.46K,-1.51%
06/02/2022,"1,658.75","1,625.00","1,669.50","1,617.00",12.11K,2.08%
06/01/2022,"1,625.00","1,623.00","1,642.50","1,612.50",10.88K,0.29%
05/31/2022,"1,620.25","1,665.50","1,679.50","1,613.25",12.95K,-6.75%
05/30/2022,"1,737.50","1,737.50","1,737.50","1,737.50",,4.48%
05/27/2022,"1,663.00","1,658.50","1,672.25","1,652.25",9.49K,0.21%
05/26/2022,"1,659.50","1,615.00","1,667.75","1,608.00",16.34K,2.41%
05/25/2022,"1,620.50","1,632.25","1,636.75","1,606.25",7.98K,-0.72%
05/24/2022,"1,632.25","1,628.75","1,635.50","1,617.75",10.33K,0.21%
05/23/2022,"1,628.75","1,641.00","1,654.00","1,625.25",10.28K,-0.79%
05/20/2022,"1,641.75","1,634.00","1,645.50","1,622.75",10.89K,0.69%
05/19/2022,"1,630.50","1,606.50","1,635.00","1,602.00",9.48K,1.46%
05/18/2022,"1,607.00","1,623.50","1,630.25","1,601.75",10.20K,-1.06%
05/17/2022,"1,624.25","1,605.00","1,629.50","1,597.25",5.83K,1.06%
05/16/2022,"1,607.25","1,605.50","1,618.00","1,600.75",5.79K,-2.38%
05/13/2022,"1,646.50","1,614.75","1,651.50","1,614.00",83.09K,2.03%
05/12/2022,"1,613.75","1,607.50","1,627.25","1,590.25",91.72K,0.44%
05/11/2022,"1,606.75","1,593.50","1,615.00","1,587.50",73.05K,0.91%
05/10/2022,"1,592.25","1,589.00","1,605.00","1,580.50",71.40K,0.44%
05/09/2022,"1,585.25","1,623.75","1,626.00","1,578.00",96.28K,-2.27%
05/06/2022,"1,622.00","1,649.50","1,650.00","1,618.00",74.87K,-1.52%
05/05/2022,"1,647.00","1,643.00","1,667.00","1,640.00",81.21K,0.40%
05/04/2022,"1,640.50","1,633.50","1,644.50","1,622.00",75.74K,0.61%
05/03/2022,"1,630.50","1,649.50","1,662.75","1,629.00",77.55K,-0.90%
05/02/2022,"1,645.25","1,684.50","1,688.75","1,635.00",98.83K,-2.34%
04/29/2022,"1,684.75","1,686.00","1,704.75","1,679.25",72.60K,0.00%
